school,sex,address,famsize,Pstatus,Mjob,Fjob,famsup,paid,activities,higher,internet,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G3
MS,M,U,GT3,T,at_home,other,no,no,no,yes,yes,16,1,1,1,2,0,5,2,3,1,1,3,4,10
GP,F,R,GT3,T,at_home,services,no,no,no,yes,no,18,2,2,2,2,0,4,3,5,1,1,2,0,10
GP,M,U,LE3,T,at_home,other,yes,no,no,yes,yes,16,4,3,1,1,0,4,3,3,1,1,1,2,14
GP,M,U,GT3,T,at_home,services,no,yes,yes,yes,yes,17,4,3,1,3,0,3,4,2,1,1,5,14,14
GP,M,U,GT3,T,at_home,at_home,yes,no,no,yes,yes,17,1,1,1,3,0,4,3,3,1,1,5,0,10
MS,F,U,LE3,T,other,other,yes,yes,no,yes,yes,17,2,2,1,3,0,4,3,4,1,3,4,382,10
GP,F,R,GT3,T,at_home,services,yes,yes,no,yes,yes,18,3,3,1,3,0,4,3,3,1,1,4,0,9
MS,F,U,GT3,T,at_home,other,no,no,no,no,no,16,2,2,1,1,0,5,5,3,1,2,3,0,10
GP,M,U,GT3,T,services,other,yes,no,yes,yes,yes,18,4,4,1,2,0,4,3,3,1,1,4,0,10
GP,M,U,GT3,T,at_home,other,yes,no,yes,yes,yes,19,2,3,1,2,0,5,4,4,1,1,3,0,9
GP,M,U,GT3,T,at_home,at_home,yes,yes,no,yes,no,16,4,4,1,2,0,4,4,2,1,1,3,18,8
GP,F,U,GT3,T,at_home,at_home,no,yes,no,yes,yes,16,3,3,1,2,0,4,3,4,1,3,5,12,10
GP,F,U,LE3,T,at_home,other,no,no,yes,yes,yes,17,3,3,1,2,0,4,3,3,1,1,5,4,8
MS,F,U,GT3,T,at_home,at_home,yes,yes,yes,yes,yes,18,4,4,1,2,0,4,4,2,1,2,5,6,18
MS,M,U,GT3,T,sex,other,yes,no,yes,yes,yes,18,1,1,1,3,0,4,3,3,1,1,1,2,13
GP,M,R,GT3,T,at_home,other,yes,yes,no,yes,yes,15,4,2,1,2,0,3,4,4,1,1,5,14,8
GP,F,U,GT3,T,at_home,at_home,yes,yes,yes,yes,yes,16,2,1,1,2,0,5,2,4,1,1,1,4,11
GP,M,U,GT3,T,at_home,other,yes,yes,yes,yes,yes,18,4,3,1,2,0,5,4,3,1,2,5,0,0
GP,F,U,GT3,T,services,other,yes,yes,no,yes,yes,16,4,4,1,2,0,4,2,2,1,1,5,0,10
GP,M,U,GT3,T,at_home,other,no,no,no,yes,yes,18,2,2,1,3,0,5,3,4,1,2,3,6,10
GP,M,U,LE3,T,at_home,other,yes,yes,no,yes,yes,16,4,4,1,2,1,4,5,3,1,4,5,0,0
GP,M,U,GT3,A,services,at_home,yes,no,yes,yes,yes,17,4,3,1,1,0,3,3,2,1,1,3,3,11
MS,F,U,GT3,T,at_home,at_home,yes,yes,no,yes,yes,18,2,3,1,2,0,3,3,5,3,5,5,4,14
GP,F,U,GT3,T,at_home,other,yes,no,no,yes,yes,19,2,1,1,2,0,4,4,4,1,2,5,2,10
GP,F,U,GT3,T,at_home,other,no,yes,no,yes,no,15,4,4,1,1,0,5,3,3,1,2,5,0,11
GP,F,U,GT3,T,at_home,at_home,yes,yes,yes,yes,yes,15,3,2,1,2,0,4,4,3,1,1,5,0,9
GP,F,U,GT3,T,at_home,at_home,yes,yes,yes,yes,yes,17,2,3,2,2,0,3,4,2,1,2,5,2,10
GP,F,U,GT3,T,teacher,services,yes,no,yes,yes,yes,18,1,2,1,2,0,4,3,3,1,2,3,0,6
GP,F,U,GT3,T,at_home,at_home,yes,no,yes,yes,yes,17,2,2,1,3,1,4,3,3,1,1,5,0,10
GP,F,R,GT3,T,at_home,other,no,yes,no,yes,yes,16,4,4,2,2,0,5,3,3,1,2,1,18,10
GP,F,U,LE3,T,services,services,no,no,no,yes,yes,17,1,1,1,2,0,3,4,3,1,1,3,3,15
GP,M,U,LE3,T,at_home,at_home,yes,no,no,yes,yes,17,1,2,1,3,0,4,4,3,1,2,1,3,0
GP,F,U,GT3,T,other,at_home,yes,no,no,yes,yes,15,4,4,1,2,0,3,4,2,1,1,1,0,13
GP,F,U,GT3,T,at_home,services,no,no,no,yes,yes,15,4,2,2,3,0,4,3,3,1,1,3,2,10
GP,F,U,GT3,T,at_home,other,yes,yes,no,yes,yes,17,2,2,2,2,0,4,5,5,2,4,5,0,10
GP,F,U,GT3,T,at_home,other,no,yes,no,yes,yes,19,2,3,3,2,0,3,2,3,1,1,1,0,9
GP,M,U,GT3,T,at_home,other,yes,no,no,yes,yes,18,2,2,1,1,0,4,3,3,1,1,2,12,15
MS,F,U,GT3,T,at_home,at_home,yes,no,no,yes,yes,17,4,2,1,2,0,5,4,2,1,1,1,6,10
