school,sex,address,famsize,Pstatus,Mjob,Fjob,famsup,paid,activities,higher,internet,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G3
GP,M_1,U,GT3,T,other,services,no,yes,no,yes,yes,15,4,2,1,1,0,4,3,2,2,2,3,0,12
GP,F,R,GT3,T,services,other,yes,no,no,yes,yes,17,2,2,3,2,0,4,2,2,2,2,4,3,8
GP_level,F,U,GT3,T,other,other,yes,no,no,yes,no,17,4,4,1,1,0,5,4,5,2,2,4,2,0
"GP, activities is no",F,U,LE3,T,other,other,no,yes,no,yes,yes,16,3,3,3,1,0,4,3,1,1,1,1,2,12
GP,F,R,LE3,T,services,services,yes,no,no,yes,yes,16,4,4,2,1,0,3,2,4,1,1,3,0,15
"GP, failures is 0","M, famrel is 5, activities is yes",U,GT3,T,other_level is R,other_level_0,yes,yes,no,yes,yes,18,3,4,1,3,1,5,3,4,3,4,5,1,14
GP,F,U,GT3,T,services,services,no,yes,no,yes,yes,15,3,3,2,1,0,4,4,4,1,1,4,0,8
GP,M,U,GT3,T,other,other,yes,no,no,yes,yes,18,3,1,3,4,0,2,4,3,2,2,2,0,13
GP,F,U,GT3,T,other,other,yes,no,no,yes,yes,16,1,1,2,1,0,5,3,4,1,1,4,0,3
GP,M,U,LE3,"T, famrel is 4",other,other,yes,yes,yes,yes,yes,16,4,4,1,1,0,3,2,3,4,3,5,0,2
GP,F,U,GT3,T,other,services,no,no,No,yes,yes,16,3,4,1,2,0,3,5,3,1,1,3,0,3
GP,M,R,GT3,T,other,other,yes,no,no,yes,no,16,2,4,2,2,0,5,3,3,2,2,1,2,18
GP,F,U,GT3,"T, Mjob is other, internet is yes",other,other,yes,yes,yes,yes,yes,17,3,2,4,1,0,4,10,3,4,3,5,0,8
GP,M_0,U,GT3,T,other,other,no,yes,no,yes,yes,18,4,2,2,3,0,3,5,3,2,4,5,0,10
GP,F,U,LE3,T,at_home,at_home,yes,no but higher,no_0,yes,yes,17,4,2,1,2,0,4,4,2,1,1,3,0,10
GP,F,U,T,T,services_index_level_0__ is 33,services_index_level_0__ is 16,yes,"no, internet is yes",no,yes,yes,16,3,3,1,1,0,3,4,3,1,1,3,0,7
GP,F,U,GT3,T,services,services,yes,no_table_level_0,yes,yes,no,18,1,4,1,2,0,4,4,3,2,1,5,0,10
GP,F,U,GT3,T,services,services,yes,no,yes,yes,no,16,1,1,2,3,0,1,5,2,1,1,4,0,10
GP,F,U,GT3,T,other,other,yes,no,yes,yes,yes,17,3,3,2,2,0,4,1,4,2,5,1,1,8
GP,M,U,GT3,T,other,other,no_0,no_index_level_0_0,no,yes,yes,16,4,2,1,2,0,4,1,2,3,1,4,2,18
GP,M,U_level_0,GT3,T,other,other,yes,no,no,yes,yes,17,3,2,1,4,0,3,3,2,1,2,4,10,8
GP,F,U,LE3,T,other_level is T,other,yes,yes,yes,yes,yes,20,3,3,4,3,0,4,2,4,3,2,5,0,12
GP,M,U,GT3,T,other,other,yes,no,yes,yes,yes,18,4,2,3,3,0,4,2,3,3,2,5,0,0
GP,M,U_0,GT3,"T, internet is yes",other,other,no,no,yes,yes,yes,18,1,1,2,3,0,3,4,4,1,2,4,0,8
GP,F,U,GT3,T,other_0,other_0,no,"no, Fjob is other_0",yes,yes,yes,16,4,3,1,2,0,2,1,2,1,1,5,0,0
GP,F,U,GT3,"T, failures is 0",other,other,yes,yes,no,yes,yes,19,2,2,1,1,0,4,3,1,4,2,5,0,19
GP,M,U,GT3,T,services,services,no,no,no,yes,yes,16,3,4,1,2,0,4,2,3,4,3,2,15,14
GP,F_1_1_2_0_11_0_11_0_11_0_11_0,U_0_0_1,GT3_0,T,at_home_lunch_2_0_19_77_18_school_service_level_0,at_home_lunch_1_11_0_16_0_11_0,yes,yes,yes,yes,yes,17,2,1,2,1,0,2,4,1,2,3,4,7,16
GP,IM,U,GT3,T,other,other,yes,yes,no,yes,yes,18,2,4,1,1,0,4,2,1,1,1,4,3,6
GP,M,U,GT3,T,services,other,yes,yes,yes,yes,yes,17,4,4,2,2,0,4,3,3,4,1,2,4,8
GP,M,U,GT3,T_CO,other,other,no,yes,no,yes,yes,17,2,3,2,2,0,4,3,3,2,3,5,0,15
GP_level 2,F,U,GT3,T,other,other,yes,yes,no,yes,yes,15,2,2,4,3,0,3,2,4,4,2,2,2,7
GP,M,U,GT3,T,services,services,no,no,no,yes,yes,15,3,2,1,3,0,4,5,2,2,2,1,0,8
GP_level 1,M,U,GT3,T,other,other,no,no,no,yes,yes,16,4,4,1,3,0,3,3,4,2,2,5,0,0
GP,F,U,GT3,T,services,other,yes,no,no,yes,yes,16,3,3,2,1,0,4,3,1,4,3,5,1,11
GP,F,U. Fedu is 4,GT3,T,other,other,yes,no,yes,yes,yes,16,4,1,1,1,0,1,1,1,1,1,4,3,19
GP,F,U,GT3,T,other,other,no,"no

size is GT3",no,"yes, studytime is 1",yes,18,3,4,2,1,0,4,5,4,1,3,1,0,11
GP,M_c,U,GT3,T,other,other,yes,no,no,yes,yes_0,16,2,4,1,1,0,2,5,4,4,2,3,0,26
GP,F,U,GT3,T,other,other,no,no,no,yes,yes,17,4,2,2,4,0,4,5,4,3,2,2,0,11
GP,F,R,GT3,T,other,other,yes,yes,no,yes,yes,16,1,2,2,2,0,4,2,2,4,3,4,0,10
GP,M,U_0,GT3,T,other,other,yes,no,yes,yes,yes,17,2,1,1,2,0,5,3,2,1,3,3,0,19
GP,"F, internet is yes",U_1,GT3,T,other,other,yes,yes,"no, Fjob is other, Fjob is other",yes,yes,17,4,4,3,2,0,4,3,2,4,1,3,15,0
GP,F,U,GT3,T,services,services,yes,yes,no,yes,no,16,1,2,2,2,0,4,4,2,1,1,3,0,10
GP,M,U,LE3,"T, internet is yes",other,other_index_level_0,yes,no,no,yes,yes,18,4,4,2,2,0,5,5,2,1,1,5,0,15
GP,"M, paid is yes",Le3,LE3,T,other,other,yes,yes,no,yes,no,19,2,3,3,2,0,1,1,3,1,2,3,3,20
GP,M,U,GT3,T,health_level 1,health_level 2,yes,yes,yes,yes,yes,18,3,2,1,3,0,4,4,2,2,2,4,1,12
GP,M,U,LE3,T,other,other,no,no,no,yes,yes,15,2,1,1,3,2,2,2,1,2,1,3,4,6
GP,M,U,LE3,T,other_level is A_0,services,no,yes,no,yes,yes,17,4,4,2,2,0,3,4,2,1,1,4,2,11
GP,F,U. (2,GT3,T,other,other,yes,no,yes,yes,yes) _index_level is 26,17,4,3,2,4,0,3,1,4,1,2,5,0,8
GP,M,U,GT3,T,other_index_level is 8,other_index_level is 11,no,no,no,yes,yes,17,4,4,2,3,0,4,1,4,4,4,4,3,13
GP,F,U,GT3,T,other,other,yes,no,no,yes,yes,17,3,3,1,1,0,4,3,3,1,1,4,0,5
GT3,M,U,GT3,T,other,services,yes,no,yes,yes,yes,18,4,4,2,3,0,3,2,4,3,4,4,0,11
GP,F,U_0,GT3,T,services,services,no,no,no,yes,yes,16,2,2,1,1,0,2,4,5,2,2,4,1,12
GP,M,U,GT3,T,"other, failures is 1",other,yes,no,no,yes,yes,15,2,2,2,3,0,3,1,3,1,2,5,0,15
GP,F,U,GT3,T,at_home,at_home_1_c_1_g_8_bout_level_0,yes,no,no,yes,yes,17,2,2,2,1,0,4,5,5,2,2,4,0,11
GP,M,U,"GT3, failures is 1",T,other,other,yes,yes,yes,yes,yes,17,1,2,2,3,0,4,3,1,3,1,5,2,6
GP,M,U,GT3,T,other,services,yes,no,no,yes,yes,15,4,4,1,2,0,4,3,4,2,2,5,0,16
GP1,F,U,GT3,T,other,other,no,no,no,yes,yes,17,4,4,1,1,0,5,4,5,4,4,3,2,12
GP,M,U_c,"LE3, famrel is 1, famsup is no, failures is 1, G3 is 5, failures is 0",T,services,services,no,yes,no,yes,yes,16,1,4,6,5,0,3,2,2,4,3,5,0,12
GP,M,R,LE3,T,other,other,no,no,yes,yes,yes,18,3,2,1,2,0,4,4,3,1,1,5,0,3
GP,M,U,GT3,T,other,other,no,no,yes,yes,yes,18,2,2,1,3,0,2,4,3,4,2,4,0,6
GP,M,U,GT3,T,services,other,yes,yes,no,yes,yes,17,3,4,1,1,0,4,3,3,1,1,4,0,7
GP,M,U,GT3,T,other,other,yes,"no, goout is 4",yes,yes,yes,17,2,1,1,1,0,4,4,2,3,1,2,0,7
F,M,U,GT3,T,other,other,yes,no,no,yes,yes,16,1,1,2,3,0,4,4,2,1,3,4,0,5
GP,M,U,GT3,T,other,other,"no, age is 15",no,no,yes,yes,16,2,2,1,1,0,2,1,2,2,2,3,0,15
"GP, failures is 1",F,A,GT3,T,other,other,no,yes,yes,yes,yes,15,2,2,1,1,0,4,5,1,1,1,5,0,8
GP,F,U,GT3,T,services_c,services,yes,no,yes,yes,yes,17,2,3,1,3,0,3,2,3,3,4,4,0,15
GP,M,U,GT3,T,services,other,yes,yes,yes,yes,no,15,1,2,1,4,0,3,2,1,1,2,5,0,5
GP,M,U,GT3,T,services_index_level_1,services_level_1,yes,yes,no,yes,yes,17,3,1,3,2,0,4,2,2,4,1,2,0,16
GP,M,U,GT3,T,other,other,yes,no,yes,yes,no,15,4,4,3,1,0,4,5,3,2,1,3,2,9
GP,F,U,GT3,T,other_index_level_0,other,no,no,no,yes,no,17,1,4,1,2,1,4,3,1,2,2,5,0,0
GP,M,U,GT3,T,other_level is R,other,yes,yes,no,yes,yes,18,4,1,1,1,0,5,3,3,1,2,3,5,10
GP,M,U,GT3,T,services_level 1,services,no,yes,no,yes,yes,18,3,3,2,2,0,5,4,3,4,4,3,4,11
