school,sex,address,famsize,Pstatus,Mjob,Fjob,famsup,paid,activities,higher,internet,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G3
GP,M,U,GT3,T,other,other,yes,no,no,yes,yes,17,3,3,1,2,0,6,3,4,1,1,5,16,8
GP,F,U,GT3,T,other,other,yes,no,no,yes,yes,17,2,3,1,1,0,4,3,2,1,1,5,26,13
GP,F,U,GT3,T,other,other,yes,yes,yes,yes,yes,19,4,3,1,5,0,4,3,5,1,1,4,0,11
GP,M,U,GT3,T,at_home,other,yes,yes,no,yes,yes,18,2,2,1,1,0,4,4,4,1,1,5,0,12
GP,F,U,GT3,T,other,other,yes,no,no,yes,yes,17,4,4,1,3,0,4,5,2,1,1,3,11,14
GP,F,U,GT3,T,health,other,yes,no,yes,yes,yes,17,4,4,1,1,0,5,3,5,3,2,4,2,13
GP,F,U,GT3,T,at_home,other,yes,no,no,yes,yes,18,4,3,1,2,0,3,3,5,1,2,4,1,12
GP,M,U,LE3,T,other,other,yes,yes,no,yes,yes,18,3,3,1,1,0,4,2,3,1,1,5,8,10
GP,M,U,LE3,T,other,other,yes,no,no,yes,yes,15,2,3,1,2,2,5,2,4,2,2,5,0,10
GP,F,U,LE3,T,other,other,yes,no,no,yes,yes,17,2,1,1,1,0,5,3,4,2,4,2,10,11
GP,M,R,LE3,T,other,other,yes,no,no,yes,yes,17,4,1,1,2,0,3,3,5,2,2,1,3,11
GP,M,U,GT3,T,other,other,yes,no,yes,yes,no,16,3,2,1,2,0,4,4,4,1,5,5,0,11
GP,M,U,LE3,T,other,other,yes,no,no,yes,yes,17,4,4,1,2,1,4,3,4,1,2,5,0,10
GP,M,U,GT3,T,at_home,services,yes,no,yes,yes,yes,17,4,4,1,3,0,5,3,2,1,1,5,0,14
GP,F,U,GT3,T,other,other,yes,yes,no,yes,yes,18,4,4,1,2,0,5,5,4,1,1,5,0,12
GP,F,U,GT3,T,services,services,no,no,no,yes,yes,17,2,2,1,1,0,4,4,3,2,5,5,0,14
GP,M,R,GT3,T,other,other,yes,no,no,yes,yes,16,1,1,2,2,0,3,2,5,1,1,4,0,16
GP,F,U,GT3,T,services,other,yes,yes,yes,yes,yes,17,2,3,1,1,0,4,3,3,2,1,1,0,10
MS,F,U,GT3,T,other,other,yes,no,yes,yes,no,17,1,1,2,1,0,3,3,3,1,1,4,0,12
GP,M,U,GT3,T,other,other,yes,no,no,yes,yes,17,4,3,1,1,0,4,4,3,1,1,5,5,13
GP,F,U,GT3,T,at_home,other,no,no,yes,yes,yes,18,4,4,1,2,0,4,4,3,2,4,1,0,10
GP,M,U,GT3,T,teacher,services,yes,no,yes,yes,yes,17,2,2,1,1,0,4,3,4,2,2,4,0,14
GP,F,R,GT3,T,other,other,yes,no,yes,yes,yes,16,2,4,2,1,0,4,5,3,2,3,4,10,0
GP,M,U,GT3,T,other,other,no,yes,no,yes,yes,16,4,2,2,1,0,4,3,3,1,1,4,0,9
GP,F,R,GT3,T,teacher,teacher,yes,no,no,yes,yes,17,1,1,2,2,0,4,5,4,1,1,5,0,10
GP,M,U,GT3,T,teacher,at_home,yes,no,yes,yes,yes,15,4,3,1,2,0,3,5,5,1,2,4,0,15
GP,F,U,GT3,T,services,teacher,yes,no,no,yes,yes,18,4,3,1,2,0,5,4,3,1,2,5,0,10
GP,M,U,GT3,T,services,at_home,yes,no,yes,yes,yes,15,4,4,1,2,3,3,3,4,4,5,5,0,14
GP,F,U,GT3,T,"other, studytime is 1",other,yes,no,yes,yes,yes,17,3,2,1,1,0,4,3,1,1,2,5,2,12
GP,F,U,GT3,T,other,other,yes,no,no,yes,yes,16,1,1,1,1,0,4,2,4,1,1,3,0,9
GP,M,U,GT3,T,teacher,services,yes,no,no,yes,yes,16,2,2,2,1,0,4,3,4,1,2,4,0,10
GP,F,U,GT3,T,other,other,yes,no,yes,yes,yes,14,2,2,1,1,0,3,3,4,1,2,5,0,10
GP,M,U,GT3,T,other,other,yes,no,yes,yes,yes,17,3,3,1,1,0,4,4,4,1,1,5,9,0
GP,F,U,GT3,T,at_home,services,yes,yes,no,no,yes,18,2,3,2,1,0,4,3,4,1,2,3,0,10
GP,F,U,GT3,T,other,other,yes,no,no,yes,yes,18,2,2,1,1,0,4,4,3,1,3,5,0,12
GP,F,U,GT3,T,health,services,no,yes,no,yes,yes,16,4,4,1,2,0,4,2,4,1,1,2,4,13
GP,F,U,GT3,T,other,services,yes,yes,no,yes,yes,18,2,2,1,1,1,5,3,2,1,1,3,1,8
GP,M,U,GT3,T,health,other,yes,yes,no,yes,yes,16,2,1,1,2,0,5,2,4,2,3,4,9,12
GP,F,U,LE3,T,other,other,yes,yes,yes,yes,yes,15,4,3,1,1,0,4,5,3,1,1,1,0,0
GP,F,U,LE3,T,other,other,yes,no,yes,yes,yes,15,3,3,1,1,0,3,3,4,1,1,5,14,11
GP,F,U,GT3,T,other,other,no,no,yes,yes,yes,18,2,1,1,2,0,5,5,3,1,1,2,7,15
GP,F,U,GT3,T,professional,other,no,yes,no,yes,yes,15,3,4,1,2,1,4,2,4,1,1,5,0,10
GP,M,U,GT3,T,other,other,no,no,yes,yes,yes,17,3,3,2,1,0,4,3,3,1,1,4,0,11
GP,M,U,GT3,T,other,other,no,no,no,yes,yes,16,4,3,1,1,0,3,3,3,2,3,5,3,10
GP,F,U,LE3,T,other,other,yes,yes,yes,yes,yes,17,4,1,1,1,0,5,3,3,2,2,5,3,15
GP,M,U,LE3,T,services,services,yes,yes,yes,yes,yes,15,2,2,2,2,0,4,4,3,1,3,4,1,10
GP,F,R,GT3,T,other,other,no,no,no,yes,yes,18,2,1,1,2,0,4,3,4,1,1,5,15,11
GP,F,U,GT3,T,teacher,other,yes,yes,yes,yes,yes,17,2,2,1,1,0,4,3,4,3,5,5,0,12
GP,M,U,LE3,T,at_home,at_home,yes,no,yes,yes,yes,17,2,2,1,1,0,4,2,4,1,3,5,2,11
GP,M,U,GT3,T,other,other,yes,no,no,yes,yes,16,3,2,1,3,0,4,3,3,1,1,3,17,14
GP,M,U,LE3,T,services,services,no,no,no,yes,yes,17,2,2,2,2,0,4,3,4,1,1,5,0,10
GP,F,U,GT3,T,other,other,yes,yes,no,yes,yes,16,3,3,1,1,0,4,2,3,2,2,5,4,13
GP,F,R,GT3,T,health,health,no,no,yes,yes,yes,17,2,2,2,2,2,4,4,2,1,1,3,9,10
GP,M,R,LE3,T,other,other,yes,yes,yes,yes,yes,15,3,4,1,2,1,3,3,3,1,1,5,3,6
GP,M,U,GT3,T,services,services,yes,yes,yes,yes,yes,16,3,3,1,2,0,3,3,3,1,1,2,0,12
GP,F,U,GT3,T,other,other,no,no,no,yes,yes,18,3,3,1,1,4,4,3,3,1,1,5,0,10
GP,M,R,LE3,T,other,other,yes,yes,no,yes,yes,16,4,3,1,2,0,4,4,3,1,1,5,1,16
GP,F,U,GT3,T,other,other,no,no,yes,yes,yes,16,4,2,1,1,0,3,4,4,1,1,5,0,16
GP,F,U,GT3,T,services,other,yes,yes,no,yes,yes,17,1,1,1,2,0,3,3,4,1,1,4,4,11
GP,M,U,GT3,T,other,other,yes,yes,no,yes,yes,15,2,2,2,2,0,3,4,2,2,3,5,0,8
GP,F,U,GT3,T,services,services,yes,yes,yes,yes,yes,17,2,3,1,2,0,4,5,3,1,2,5,9,10
GP,F,U,GT3,T,at_home,other,yes,no,no,yes,yes,19,4,4,1,2,0,5,3,4,2,2,5,9,11
GP,M,U,GT3,T,services,services,yes,no,yes,yes,yes,17,2,3,2,1,0,5,4,3,1,1,4,0,13
GP,M,U,LE3,T,other,other,yes,yes,no,yes,yes,19,3,3,1,1,0,5,3,2,1,1,5,0,9
GP,M,U,GT3,T,other,other,no,yes,no,yes,yes,17,3,3,1,3,0,4,4,2,3,4,3,5,8
GP,M,U,LE3,T,other,other,no,no,yes,yes,yes,17,3,4,1,2,0,4,5,3,1,4,3,3,10
GP,M,U,LE3,T,other,other,no,no,yes,yes,yes,18,4,4,1,2,0,5,3,3,3,2,5,1,14
GP,F,U,GT3,T,services,other,yes,no,no,yes,yes,15,1,3,1,2,0,4,3,3,1,2,3,0,11
GP,M,R,LE3,T,other,teacher,yes,no,yes,yes,yes,17,4,4,1,2,0,5,2,4,1,1,2,0,12
GP,F,U,GT3,T,services,other,yes,no,yes,yes,yes,18,2,1,1,2,0,4,3,5,1,2,5,1,16
GP,F,R,GT3,T,other,other,yes,yes,no,yes,yes,18,3,5,1,1,0,4,4,3,1,1,5,4,12
GP,M,U,GT3,T,other,other,yes,no,no,yes,yes,17,1,1,1,1,0,5,5,4,1,3,1,1,11
GP,F,U,GT3,T,services,services,yes,no,yes,yes,yes,15,2,2,1,2,0,3,4,4,1,3,5,0,11
GP,F,U,LE3,T,services,other,yes,yes,yes,yes,yes,15,2,3,1,1,0,4,4,2,4,2,5,5,10
GP,F,U,GT3,T,other,services,yes,no,no,yes,yes,18,3,3,1,1,0,4,3,4,1,2,5,0,11
GP,F,R,GT3,T,services,services,yes,no,yes,yes,yes,17,4,4,1,1,0,4,3,4,1,1,1,14,9
GP,M,U,LE3,T,teacher,services,no,yes,no,yes,yes,18,4,4,1,2,0,4,3,2,2,2,5,0,13
GP,M,U,GT3,T,at_home,other,yes,yes,no,yes,yes,15,4,4,1,1,0,4,4,4,1,2,3,0,12
GP,M,U,GT3,T,services,services,no,no,no,yes,yes,16,2,2,1,2,0,5,3,4,1,5,2,0,10
GP,F,U,GT3,T,other,at_home,yes,yes,no,yes,yes,17,3,3,1,2,0,5,4,3,1,3,5,0,10
