school,sex,address,famsize,Pstatus,Mjob,Fjob,famsup,paid,activities,higher,internet,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G3
GP,MS,U,GT3,T,other,other,yes,"yes, higher is yes",yes,yes,yes,16,4,4,1,2,0,3,3,4,2,1,3,1,10
GP,F,U,GT3,T,at_home,other,yes,yes,yes,yes,yes,21,1,3,1,2,0,3,1,4,1,1,5,0,10
GP,M,U,GT3,T,services,services,yes,yes,no,yes,yes,18,4,3,1,3,0,4,3,3,2,4,4,8,0
GP,M,U,GT3,T,at_home,at_home,yes,no,yes,yes,no,17,2,2,2,2,1,4,3,4,2,1,4,3,8
GP,M,U,GT3,T,other,other,yes,yes,no,yes,yes,16,2,3,1,1,0,3,4,3,1,1,5,0,11
GP,F,U,GT3,T,services,services,yes,yes,no,yes,yes,17,3,4,1,3,0,3,3,3,5,2,5,5,7
GP,F,U,GT3,T,other,other,yes,no,yes,yes,yes,19,4,3,2,1,0,4,3,3,1,3,5,0,17
GP,M,U,GT3,T,other,other,yes,no,no,yes,yes,19,4,4,1,1,0,3,2,2,1,1,5,0,16
GP,F,U,GT3,T,other,other,yes,no,yes,yes,yes,16,1,1,1,1,0,5,4,2,1,1,5,5,21
GP,M,U,GT3,T,other,other,yes,no,yes,yes,yes,19,4,2,1,2,0,4,3,3,1,1,5,4,11
GP,F,U,GT3,T,other,other,no,no,yes,yes,yes,17,3,3,3,2,0,4,3,2,1,1,5,0,12
GP,M,U,GT3,T,other,other,yes,yes,yes,yes,yes,16,4,4,1,3,0,4,5,3,1,2,5,0,10
GP,F,R,GT3,T,services,services,yes,yes,yes,yes,yes,18,3,2,1,1,0,1,4,2,1,2,3,16,11
GP,F,R,GT3,T,other,other,yes,yes,yes,yes,yes,18,4,4,1,1,1,4,3,3,1,1,5,1,0
GP,M,U,GT3,T,services,other,yes,yes,yes,yes,yes,16,4,4,2,1,0,4,3,4,3,2,5,0,8
GP,M,U,GT3,T,other,other,yes,no,yes,yes,no,16,2,2,1,2,0,4,3,2,3,4,5,5,2
GP,F,U,GT3,T,other,other,no,no,yes,"yes, G3 is 15, failures is 0",yes,16,4,3,1,1,0,2,2,2,1,3,5,0,13
GP,F,U,GT3,T,other,other,no,yes,"yes, failures is 0",yes,no,18,3,3,1,1,0,3,3,3,2,1,5,10,12
GP,M,U,GT3,T,at_home,other,yes,yes,no,yes,yes,16,1,2,1,1,0,2,3,4,2,1,2,12,10
GP,F,U,GT3,A,services,at_home,yes,yes,no,yes,yes,18,4,4,1,1,0,5,2,2,1,1,5,16,16
GP,F,U,GT3,GT3,services,services,yes,yes,yes,yes,yes,18,4,4,1,2,0,4,4,3,2,1,5,0,10
GP,M,U,GT3,T,other,health,yes,yes,yes,yes,yes,18,1,2,2,3,0,5,4,4,1,1,4,10,11
"GP, internet is yes, activities is no",F,U,GT3,T,other,other,yes,no,no,yes,yes,18,1,4,1,3,0,4,4,4,1,1,4,6,14
GP,"F, health is 5, failures is 1",U,GT3,T,services,services,yes,yes,yes,yes,yes,18,4,4,1,1,0,4,3,3,2,1,5,18,11
GP,M,U,GT3,T,other,services,yes,no,yes,yes,yes,18,2,4,2,2,0,4,2,4,1,1,5,0,12
GP,M,"U, failures is 0",GT3,T,services,services,yes,no,yes,yes,yes,16,3,3,1,2,0,4,4,3,2,3,3,7,8
GP,F,U,GT3,T,other,services,no,no,no,yes,yes,16,4,5,1,1,0,3,3,3,2,2,5,0,10
GP,"M, paid is no, paid is no, internet is yes, absences is 0",U,GT3,T,other,other,yes,"no, famsup is yes, internet is yes, failures is 0",yes,yes,yes,17,1,2,2,2,0,3,3,4,1,1,5,0,15
GP,M,U,GT3,T,services,services,yes,no,no,yes,yes,19,2,3,2,1,0,4,2,3,1,1,5,0,11
GP,M,U,GT3,T,other,other,no,no,no,yes,yes,17,1,1,1,2,0,4,2,3,1,3,4,2,11
GP,M,U,GT3,T,other,services,no,yes,no,yes,yes,16,2,3,2,2,0,4,2,4,1,1,5,0,12
GP,M,R,GT3,T,services,other,yes,yes,no,yes,yes,16,5,4,1,3,0,4,2,1,1,1,3,4,12
GP,F,U,GT3,T,services,services,yes,yes,yes,yes,yes,18,2,4,1,1,0,4,3,3,1,2,5,5,14
GP,M,U,GT3,T,health,other,yes,no,yes,yes,yes,16,2,2,1,1,0,3,3,2,1,3,3,1,16
MS,F,U,GT3,T,other,other,yes,yes,yes,yes,yes,16,2,1,3,2,0,4,2,3,1,1,5,16,16
GP,F,U,GT3,T,at_home,other,yes,yes,no,yes,yes,15,4,4,1,1,0,4,4,3,1,1,5,4,5
GP,M,U,GT3,T,services,other,yes,no,yes,yes,yes,18,3,2,2,2,0,4,3,3,1,1,4,0,10
GP,M,U,LE3,T,other,other,no,yes,yes,yes,yes,16,3,3,1,2,0,4,4,4,2,1,1,8,12
GP,F,U,GT3,T,services,other,no,no,yes,"yes, failures is 0",yes,16,3,3,2,2,0,3,4,1,1,1,5,4,11
GP,M,U,GT3,T,services,other,yes,yes,no,yes,yes,14,2,2,1,1,0,4,3,2,1,2,4,5,11
GP,M,U,GT3,T,other,other,yes,yes,yes,yes,yes,18,4,4,1,3,0,5,3,4,4,4,5,0,12
GP,F,"U, failures is 0",GT3,T,other,other,yes,yes,yes,yes,yes,17,1,3,1,2,0,4,3,4,1,2,5,0,0
GP,F,U,GT3,T,"other, famsup is yes, famsize is GT3, Walc is 1, school is GP, higher is yes, failures is 0",services,yes,yes,yes,yes,yes,18,3,4,1,1,0,4,3,3,1,1,5,1,8
GP,F,U,GT3,T,services,services,yes,yes,no,yes,yes,15,2,3,1,2,0,3,3,2,2,1,5,2,11
GP,M,U,GT3,T,other,other,yes,no,no,yes,yes,16,2,2,1,2,0,4,2,5,1,2,5,2,16
GP,F,U,GT3,T,other,other,no,"yes, famsup is yes, failure is no",no,yes,yes,22,4,4,1,2,0,4,3,4,1,1,5,5,49
GP,F,U,GT3,T,other,other,yes,yes,no,yes,yes,18,3,4,1,2,0,5,3,4,1,1,5,4,11
GP,F,U,GT3,T,other,other,yes,no,no,yes,yes,15,2,4,1,1,0,4,4,4,3,1,5,0,15
GP,M,U,LE3,T,other,services,yes,no,yes,yes,yes,19,1,4,2,2,0,3,2,5,1,2,5,0,11
